model,test,book,characters,errors,insertions,deletions,substitutions,arabic_count,arabic_missed
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_bsb_codarab_230_163r_164r,1991,329,105,131,93,1578,113
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_bsb_codarab_230_164r,268,37,14,5,18,213,21
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_bsb_codarab_230_164v,416,55,24,10,21,333,27
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_bsb_codarab_230_165r,905,183,99,17,67,698,87
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_bsb_codarab_230_40v_42r,2513,332,161,45,126,1990,158
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_bsb_codarab_230_78v_79v,1702,169,101,20,48,1347,74
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_bsb_codarab_230_80v_81r,655,99,49,5,45,518,46
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_princeton_garrett_no_371b_61v-57r,2398,421,265,37,119,2003,316
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_sbb_landberg_212_122v_126v,2993,632,476,18,138,2282,280
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_sbb_lbg_210_220v_229v,5373,608,386,40,182,4289,209
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_sbb_oroct224_145v_146v,844,122,74,13,35,666,50
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_sbb_oroct_162_103v_104r,556,133,81,6,46,439,91
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_sbb_oroct_224_123v126v,2002,328,208,24,96,1549,140
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_sbb_oroct_224_126v135v,5433,1040,614,71,355,4276,521
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_sbb_oroct_224_136r_137v,1150,159,101,7,51,894,60
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_sbb_oroct_224_146v_149v,1579,217,147,10,60,1214,76
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_sbb_wetzstein_ii_230_38r_4,3110,347,283,21,43,2454,93
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_sbb_wetzstein_ii_230_43r_4,1895,279,183,28,68,1478,96
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_sbb_wetzstein_ii_230_46r_4,1691,193,138,10,45,1312,47
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_sbb_wetzstein_ii_230_48v_4,391,64,42,8,14,307,20
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_sbb_wetzstein_ii_230_70v_7,1873,264,195,20,49,1431,57
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_vatican_ar1342_103r_118r,6307,683,218,149,316,5408,468
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_vatican_ar1342_11v_13r,917,153,90,16,47,716,77
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_vatican_ar1342_14r_15v,846,156,82,17,57,663,66
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_vatican_ar1342_17r_20r,1974,280,153,32,95,1585,114
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_vatican_ar1342_20v_33r,5825,1032,615,119,298,4531,357
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_vatican_ar1342_3r_6v,1816,219,119,31,69,1451,77
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_vatican_ar1342_6v_8v,1131,212,104,36,72,906,102
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,druze_vatican_ar1342_9r_11v,1331,213,138,15,60,1050,77
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,fatih_2553,3914,282,126,50,106,3272,208
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,hafiz_divan_umich_ms_319,7029,4145,3226,91,828,5600,3456
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,leipzig_b_or_156_01,3329,412,195,81,136,2815,293
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,leipzig_b_or_252,4959,878,462,135,281,4176,674
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,leipzig_ms_gabelentz_60,5431,547,307,113,127,4390,231
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,leipzig_vollers_121,2571,836,591,50,195,2196,709
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,leipzig_vollers_879,35836,2701,920,849,932,29997,1678
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,lewis_o_27,8289,1313,772,137,404,6605,754
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,lewis_o_75,,,,,,,
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,library_of_congress_pk6450,2558,666,339,130,197,2063,484
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,ms_gabelentz_52,1747,71,29,14,28,1465,50
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,nat_lib_israel_ms_ar_4,1183,203,90,67,46,950,99
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,national_library_of_israel_ms_yahya_ar_862,2686,285,164,37,84,2243,212
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,princeton_garrett_no_1000y,625,185,139,13,33,521,154
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,princeton_garrett_no_1356y,2382,356,174,46,136,1991,246
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,princeton_garrett_no_1585y,1095,148,55,18,75,893,96
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,princeton_islamic_manuscripts_garett_no_62,2455,1727,1589,10,128,1846,1316
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_glaser_132,1276,93,56,10,27,1078,72
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_glaser_133,1022,96,27,17,52,859,71
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_glaser_33,23177,1886,935,490,461,18726,623
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_hs_or_13940,1127,292,190,23,79,952,242
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_hs_or_14189,1987,240,121,29,90,1608,145
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_hs_or_14190,2906,525,302,49,174,2363,411
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_hs_or_14192,1805,245,142,23,80,1450,145
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_hs_or_14194,1884,229,110,29,90,1511,126
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_hs_or_14299,1781,188,92,21,75,1439,107
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_hs_or_14308,1078,133,69,11,53,855,70
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_hs_or_14309,2452,367,120,52,195,2021,284
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_hs_or_8524,1037,166,79,29,58,850,106
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_hs_or_9772,1878,377,212,48,117,1503,230
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_landberg_97,2608,165,107,34,24,2107,75
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_ms_or_fol_215,7017,1217,449,337,431,5851,804
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_ms_or_fol_913,,,,,,,
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_ms_or_oct_1228,1750,631,387,39,205,1458,519
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_ms_or_oct_1790,1488,220,109,30,81,1233,166
