model,test,book,characters,errors,insertions,deletions,substitutions,arabic_count,arabic_missed
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,gotha_ms_orient_a_1632,1063,137,49,19,69,902,105
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,gotha_ms_orient_a_2435,669,118,43,19,56,561,86
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,gotha_ms_orient_p_35,2660,664,326,78,260,2050,418
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,heidelberg_cod_orient_148,671,55,23,6,26,552,41
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,jarring_prov_2,123,58,32,5,21,95,36
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,jarring_prov_36,136,75,56,4,15,115,63
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,leiden_or_775,513,157,67,25,65,444,121
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,leiden_university_or_1094,569,134,53,23,58,469,94
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_b_or_230b,1407,207,76,40,91,1153,142
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_cod_turc_104,3490,539,227,167,145,3010,344
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_110,1307,162,55,23,84,1090,129
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_226,1787,239,139,30,70,1425,95
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_393,717,38,11,10,17,601,18
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_656,967,183,91,17,75,809,147
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_659,1119,200,99,17,84,897,141
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_686,1738,141,51,26,64,1438,97
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_778,1302,162,38,27,97,1091,123
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_832,1302,239,82,28,129,1089,199
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,mcgill_manuscript_40,1411,106,28,19,59,1178,85
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,michigan_isl_ms_193,1743,334,214,30,90,1444,271
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,michigan_isl_ms_353,985,259,171,15,73,778,193
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,michigan_isl_ms_691_1,1207,148,56,36,56,993,82
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,michigan_isl_ms_943,788,95,44,7,44,652,75
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,national_library_of_israel_ms_ar_497,1886,144,71,28,45,1555,107
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,national_library_of_israel_ms_yah_ar_256,1071,136,62,19,55,899,105
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_garrett_no_1393Yy,1158,201,96,22,83,940,130
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_garrett_no_1856Y,1013,215,79,29,107,806,163
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_garrett_no_302b,1203,139,47,29,63,976,87
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_garrett_no_556h,1809,332,64,69,199,1484,234
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_garrett_no_900h,1177,134,58,12,64,942,104
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_isl_ms_garrett_no_131w,1214,373,243,26,104,951,290
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_isl_ms_garrett_no_1454y,1199,169,80,32,57,956,107
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_isl_ms_new_series_no_544,2212,468,235,69,164,1721,333
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_new_series_no_1010,1521,432,178,62,192,1246,317
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_new_series_no_1537,1239,158,79,31,48,1015,114
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_new_series_no_1715,1647,305,135,67,103,1351,193
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_new_series_no_202q_oversize,2064,423,271,32,120,1591,268
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_new_series_no_2030,843,134,35,24,75,709,101
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,rbsc_islam_ms_isl_0097,2235,455,247,61,147,1736,240
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,rbsc_ms_bw_ivanow_0157,1531,471,255,46,170,1185,345
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbb_glaser_96,1768,416,113,62,241,1460,316
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbb_sprenger_275,911,222,57,14,151,763,200
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_diez_a_quart_67,1608,314,114,47,153,1345,236
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_diez_a_quart_95,804,147,23,21,103,673,123
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_glaser_18,1677,271,102,28,141,1332,177
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_landberg_232,2088,134,33,22,79,1720,102
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_ms_or_fol_4181,2007,604,311,68,225,1608,452
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_ms_or_oct_265,1609,313,182,32,99,1302,252
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_ms_or_oct_38,1728,335,208,41,86,1377,230
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_ms_or_quart_98,1860,172,57,27,88,1544,125
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_petermann_ii_446,1584,127,44,28,55,1297,66
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_schoemann_v_5,1087,235,86,39,110,899,179
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_wetzstein_ii_1114,2236,315,107,35,173,1844,264
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_wetzstein_ii_1689,,,,,,,
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_wetzstein_ii_1704,2267,242,82,44,116,1863,165
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_wetzstein_ii_289,1343,204,52,20,132,1118,167
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,slub_mscr_dresd_ea_84,,,,,,,
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,tubingen_ma_vi_30,1436,267,143,22,102,1169,205
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,tubingen_ma_vi_42,1488,181,53,39,89,1245,125
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,tubingen_ma_vi_83,2075,133,39,23,71,1724,104
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,tubingen_ma_vii_132,794,161,62,31,68,637,98
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,tubingen_ma_vii_72,1179,211,58,57,96,996,135
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,tubingen_ma_viii_106,1361,156,61,30,65,1160,118
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,tuebingen_ma_vi_141,1202,244,89,35,120,984,184
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,uppsala_o_vet_60,524,152,64,28,60,446,112
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,vieac_10314,718,713,712,0,1,583,578
pdf-gen2-print-n7m5-nall-ft_best,aocp_ms_eval,vieac_8056v,673,502,421,3,78,533,407
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,akdi_01707,19228,1320,494,287,539,15761,878
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,altiparmak_efendi_hristiyanlik_ve_paul_hakkin,,,,,,,
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bibliotheque_nationale_de_france_departement_des_manuscrits_arabe_5267,3622,383,265,53,65,2899,176
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bibliotheque_nationale_de_france_departement_des_manuscrits_arabe_5341,14534,1243,621,336,286,11902,582
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bibliotheque_nationale_de_france_departement_des_manuscrits_persan_242,1992,556,338,72,146,1550,380
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bibliotheque_nationale_de_france_departement_des_manuscrits_persan_334,2521,397,165,126,106,2039,210
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bibliotheque_universitaire_des_langues_et_civilisations_paris_ms_ara_69,4604,1299,1123,44,132,3048,254
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bibliotheque_universitaire_des_langues_et_civilisations_paris_ms_pers_16,3071,627,387,115,125,2437,397
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bibliotheque_universitaire_des_langues_et_civilisations_paris_ms_pers_21,,,,,,,
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bnf_arabe_5453,3800,343,123,87,133,3181,230
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bnf_arabe_5741,1287,168,92,25,51,1067,122
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bnf_arabe_6246,1227,392,192,45,155,1031,307
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bnf_arabe_6329,4951,1028,677,107,244,4194,824
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bnf_arabe_6575,1553,461,310,47,104,1318,379
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bnf_arabe_6675,2421,220,96,27,97,1961,125
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bnf_arabe_6859,1254,146,81,18,47,1000,58
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bnf_arabe_6983,963,209,138,21,50,828,168
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bnf_ms_persan_270,6467,1682,1014,205,463,5169,1281
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bnf_persan_271,3150,1365,981,63,321,2478,1117
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bodleian_library_ms_ouseley_add,4846,1595,1162,113,320,3566,977
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bryn_mawr_bv_50,2941,1078,786,68,224,2329,851
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bulac_ms_pers_113,5113,946,433,251,262,4061,473
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,bulac_ms_pers_13,1786,492,283,85,124,1449,359
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,cod_arab_114,1005,78,36,10,32,845,53
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bne_arabe_5363_41_49,4759,788,406,104,278,3845,409
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bnf_arabe_1209_2r_109r,49889,7479,3562,938,2979,40672,3799
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb__codarab_230_164r_164v,764,139,106,10,23,606,74
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_139v_141v,3454,377,197,66,114,2760,138
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_126r_126v,774,80,41,7,32,620,39
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_126v,663,111,85,9,17,543,67
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_126v_127v,2119,294,189,21,84,1664,103
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_143v_144v,1847,202,102,24,76,1478,99
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_144v_146r,3030,451,204,96,151,2418,182
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_146r_147v,2447,347,167,72,108,1942,127
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_148r,761,98,47,22,29,600,41
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_150r_151r,1879,228,119,29,80,1506,111
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_151r_152v,2894,306,184,25,97,2251,112
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_154r_155r,3106,585,335,39,211,2346,218
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_155v,671,161,67,21,73,532,91
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_155v_156r,648,74,45,7,22,523,39
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_156r_159r,4383,614,319,77,218,3407,257
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_160r_160v,2834,649,425,47,177,2116,273
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_161v_162v,1956,305,145,18,142,1527,173
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_163r_164r,1991,309,98,124,87,1578,100
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_164r,268,31,11,3,17,213,17
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_164v,416,52,33,5,14,333,28
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_165r,905,166,82,14,70,698,73
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_40v_42r,2513,329,149,47,133,1990,155
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_78v_79v,1702,167,93,19,55,1347,69
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_bsb_codarab_230_80v_81r,655,89,43,5,41,518,40
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_princeton_garrett_no_371b_61v-57r,2398,396,233,51,112,2003,292
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_sbb_landberg_212_122v_126v,2993,581,414,24,143,2282,231
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_sbb_lbg_210_220v_229v,5373,601,386,49,166,4289,197
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_sbb_oroct224_145v_146v,844,118,75,13,30,666,45
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_sbb_oroct_162_103v_104r,556,127,72,5,50,439,86
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_sbb_oroct_224_123v126v,2002,306,201,20,85,1549,122
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_sbb_oroct_224_126v135v,5433,979,580,55,344,4276,484
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_sbb_oroct_224_136r_137v,1150,146,104,7,35,894,51
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_sbb_oroct_224_146v_149v,1579,213,144,8,61,1214,77
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_sbb_wetzstein_ii_230_38r_4,3110,355,276,30,49,2454,95
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_sbb_wetzstein_ii_230_43r_4,1895,259,166,24,69,1478,88
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_sbb_wetzstein_ii_230_46r_4,1691,209,139,13,57,1312,60
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_sbb_wetzstein_ii_230_48v_4,391,65,44,7,14,307,21
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_sbb_wetzstein_ii_230_70v_7,1873,254,186,17,51,1431,53
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_vatican_ar1342_103r_118r,6307,625,193,131,301,5408,435
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_vatican_ar1342_11v_13r,917,146,84,15,47,716,70
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_vatican_ar1342_14r_15v,846,131,74,12,45,663,45
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_vatican_ar1342_17r_20r,1974,266,145,36,85,1585,93
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_vatican_ar1342_20v_33r,5825,998,646,92,260,4531,314
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_vatican_ar1342_3r_6v,1816,212,124,23,65,1451,85
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_vatican_ar1342_6v_8v,1131,182,82,33,67,906,81
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,druze_vatican_ar1342_9r_11v,1331,214,139,19,56,1050,76
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,fatih_2553,3914,253,112,41,100,3272,190
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,hafiz_divan_umich_ms_319,7029,3898,3034,89,775,5600,3219
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,leipzig_b_or_156_01,3329,411,179,79,153,2815,297
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,leipzig_b_or_252,4959,797,436,121,240,4176,606
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,leipzig_ms_gabelentz_60,5431,466,248,106,112,4390,165
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,leipzig_vollers_121,2571,774,559,46,169,2196,655
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,leipzig_vollers_879,35836,2644,922,870,852,29997,1611
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,lewis_o_27,8289,1288,745,143,400,6605,737
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,lewis_o_75,,,,,,,
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,library_of_congress_pk6450,2558,673,358,132,183,2063,473
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,ms_gabelentz_52,1747,82,24,31,27,1465,46
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,nat_lib_israel_ms_ar_4,1183,198,87,71,40,950,87
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,national_library_of_israel_ms_yahya_ar_862,2686,269,135,50,84,2243,190
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,princeton_garrett_no_1000y,625,154,109,13,32,521,126
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,princeton_garrett_no_1356y,2382,350,182,49,119,1991,234
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,princeton_garrett_no_1585y,1095,152,57,14,81,893,107
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,princeton_islamic_manuscripts_garett_no_62,2455,1583,1434,13,136,1846,1201
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_glaser_132,1276,89,49,17,23,1078,61
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_glaser_133,1022,99,40,16,43,859,75
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_glaser_33,23177,1883,943,462,478,18726,655
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_hs_or_13940,1127,261,153,15,93,952,220
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_hs_or_14189,1987,239,109,29,101,1608,142
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_hs_or_14190,2906,434,253,47,134,2363,328
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_hs_or_14192,1805,240,128,29,83,1450,138
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_hs_or_14194,1884,246,114,45,87,1511,126
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_hs_or_14299,1781,185,89,30,66,1439,95
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_hs_or_14308,1078,123,61,14,48,855,59
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_hs_or_14309,2452,348,126,53,169,2021,264
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_hs_or_8524,1037,185,98,32,55,850,117
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_hs_or_9772,1878,398,208,76,114,1503,222
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_landberg_97,2608,150,89,32,29,2107,65
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_ms_or_fol_215,7017,1185,411,348,426,5851,773
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_ms_or_fol_913,,,,,,,
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_ms_or_oct_1228,1750,506,263,34,209,1458,420
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_ms_or_oct_1790,1488,196,94,33,69,1233,145
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_ms_or_oct_241,1213,133,47,18,68,1012,90
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_ms_or_oct_372,1868,251,136,31,84,1510,148
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_ms_or_oct_952,3231,1604,1349,48,207,2374,1097
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_wetzstein_i_148,2905,335,193,42,100,2359,174
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,sbzb_wetzstein_ii_1717,3095,220,87,51,82,2613,154
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,staatsbibliotek_zu_berlin_hs_or_8330,26,19,0,15,4,21,4
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,staatsbibliothek_zu_berlin_hs_or,3847,2266,1978,45,243,2863,1666
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,staatsbibliothek_zu_berlin_hs_or_14071,2550,774,499,110,165,2053,579
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,staatsbibliothek_zu_berlin_hs_or_8299,1768,438,262,74,102,1420,296
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,staatsbibliothek_zu_berlin_hs_or_9821,3186,966,559,105,302,2550,736
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,szb_landberg_83,4959,307,86,86,135,4139,185
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,u_penn_cajs_rar_ms_207,2310,581,292,117,172,1782,310
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,u_penn_ljs_387,6469,948,395,160,393,5361,699
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,u_penn_ms_codex_44,1132,124,46,27,51,944,78
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,university_of_michigan_isl_ms_12,8972,769,326,234,209,7479,488
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,university_of_michigan_isl_ms_22,10429,1349,612,213,524,8588,978
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,university_of_michigan_isl_ms_251,3278,541,228,58,255,2727,419
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,university_of_michigan_isl_ms_28,2158,379,189,46,144,1820,272
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,university_of_michigan_isl_ms_308,2815,575,342,112,121,2261,395
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,university_of_michigan_isl_ms_31,3797,1315,982,103,230,2924,953
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,university_of_michigan_isl_ms_40,5580,2029,996,274,759,4466,1565
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,university_of_michigan_isl_ms_509,3558,398,165,68,165,2923,225
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,university_of_michigan_isl_ms_895,2528,759,461,118,180,2028,548
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,walters_museum_of_art_w_617,2235,579,329,87,163,1811,436
pdf-gen2-print-n7m5-union-ft_best,acdc_mss,walters_museum_of_art_w_619,1699,606,414,72,120,1363,457
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,astan_quds_5643,3823,767,171,48,548,3118,675
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,bl_arundel_or_41,1108,394,98,126,170,850,168
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,bnf_supplement_turc_984,1349,532,259,66,207,1088,395
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,bsb_cod_arab_1071,839,194,56,14,124,692,159
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,bsb_cod_arab_463,2480,119,55,27,37,2053,78
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,chester_beatty_ar_3838,820,272,130,13,129,666,216
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,columbia_ms_or_150,1171,170,53,63,54,957,74
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,columbia_ms_or_26,1343,236,133,22,81,1061,151
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,forschungsbibliothek_gotha_ms_orient_a_102,1873,397,220,35,142,1547,322
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,gotha_ms_orient_a_1632,1063,133,62,19,52,902,101
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,gotha_ms_orient_a_2435,669,107,27,22,58,561,77
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,gotha_ms_orient_p_35,2660,611,271,75,265,2050,376
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,heidelberg_cod_orient_148,671,41,18,2,21,552,32
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,jarring_prov_2,123,64,45,3,16,95,41
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,jarring_prov_36,136,72,54,5,13,115,59
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,leiden_or_775,513,135,54,34,47,444,92
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,leiden_university_or_1094,569,138,51,25,62,469,99
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,leipzig_b_or_230b,1407,193,86,36,71,1153,126
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,leipzig_cod_turc_104,3490,531,217,174,140,3010,328
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,leipzig_vollers_110,1307,147,47,24,76,1090,115
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,leipzig_vollers_226,1787,226,133,24,69,1425,91
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,leipzig_vollers_393,717,43,13,13,17,601,20
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,leipzig_vollers_656,967,160,75,15,70,809,135
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,leipzig_vollers_659,1119,194,95,14,85,897,136
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,leipzig_vollers_686,1738,135,58,21,56,1438,94
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,leipzig_vollers_778,1302,146,35,30,81,1091,103
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,leipzig_vollers_832,1302,244,89,38,117,1089,190
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,mcgill_manuscript_40,1411,115,40,18,57,1178,90
pdf-gen2-print-n7m5-union-ft_best,aocp_ms_eval,michigan_isl_ms_193,1743,271,155,27,89,1444,219
